image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,10,4,2,0.13,25.93,-1.0027665809805513,-1.0473879237884547,-0.04462134280790342,0.2938984640758764,-1.6525951717171297,-0.5120151231638651,0.95,percentile,500,272,True
roi,1,11,5,2,0.13,25.93,-0.5569948140070042,-0.6006259727314293,-0.04363115872442502,0.23397806782970793,-1.1214802708187859,-0.17177835358286905,0.95,percentile,500,272,True
roi,1,12,6,2,0.13,25.93,0.41350372013021974,0.4509365657817308,0.03743284565151106,0.17208007597725664,0.13933082960697415,0.7786192766390349,0.95,percentile,500,272,True
roi,1,1,1,1,0.14,26.54,-0.34187237497744355,-0.30234196828259724,0.03953040669484631,0.3348368763337628,-0.9372942132404682,0.35035524884041375,0.95,percentile,500,272,True
roi,1,2,2,1,0.14,26.54,0.5366964534185202,0.5257786406961846,-0.010917812722335607,0.29310901463544126,-0.0745474110722899,1.0754394589220626,0.95,percentile,500,272,True
roi,1,3,3,1,0.14,26.54,-0.2136482144816352,-0.21995457393002552,-0.0063063594483903085,0.24127598522790247,-0.659268282791157,0.2386513145190869,0.95,percentile,500,272,True
roi,1,4,4,1,0.14,26.54,-0.08260543954744971,-0.07346090178033958,0.009144537767110134,0.23936237871878807,-0.5206594089038459,0.40192616690594535,0.95,percentile,500,272,True
roi,1,5,5,1,0.14,26.54,0.10279683166001136,0.059756680014714667,-0.04304015164529669,0.18382718287700933,-0.29981688906896975,0.41273993365460526,0.95,percentile,500,272,True
roi,1,6,6,1,0.14,26.54,0.2304318535451091,0.29258300471008875,0.06215115116497966,0.16015590649188405,-0.028901886924789812,0.613887652668922,0.95,percentile,500,272,True
roi,1,7,1,2,0.14,26.54,-0.04115496561318953,0.015926981130937934,0.05708194674412746,0.24227905907751673,-0.4570138177488993,0.43387428935310796,0.95,percentile,500,272,True
roi,1,8,2,2,0.14,26.54,0.022653929077464583,-0.019029129225804287,-0.04168305830326887,0.24311372787754046,-0.5285432606562793,0.4150999588719408,0.95,percentile,500,272,True
roi,1,9,3,2,0.14,26.54,0.6615190952998302,0.68345358728999,0.021934491990159732,0.2708047791519385,0.22276295048643302,1.2615781651490485,0.95,percentile,500,272,True
roi,1,10,4,2,0.14,26.54,-1.0118653503281954,-1.0574891969956237,-0.04562384666742836,0.2893411283170658,-1.6530305928312496,-0.5248839040683193,0.95,percentile,500,272,True
roi,1,11,5,2,0.14,26.54,-0.576398747158394,-0.6218545888737197,-0.045455841715325684,0.2303744555508918,-1.1359569608627293,-0.19837465863857748,0.95,percentile,500,272,True
roi,1,12,6,2,0.14,26.54,0.4190051362606064,0.4572331034359185,0.03822796717531207,0.16897237468768025,0.15256617723531435,0.7811617971953538,0.95,percentile,500,272,True
roi,1,1,1,1,0.15,27.15,-0.3296864222177157,-0.29056338460678005,0.03912303761093566,0.3268213699183232,-0.9119691072427117,0.3401588376173286,0.95,percentile,500,272,True
roi,1,2,2,1,0.15,27.15,0.5183851636147985,0.508272776155365,-0.010112387459433436,0.2857856162373329,-0.08152558483805362,1.0392231888689099,0.95,percentile,500,272,True
roi,1,3,3,1,0.15,27.15,-0.2035767482282463,-0.21018985643195837,-0.006613108203712054,0.23561519378977186,-0.6483155257400632,0.24576393117608739,0.95,percentile,500,272,True
